Train_Ratio,Test_Ratio,Model,Train_Acc,Test_Acc,Train_Prec,Test_Prec,Train_Rec,Test_Rec,Train_F1,Test_F1,Train_Time,Test_Time
60,40,Decision Tree,0.9934112168080124,0.9882117128738415,0.9934266689431449,0.9885023080868525,0.9924100289953949,0.9861419068736141,0.9929180887372013,0.9873206967213115,0.18901896476745605,0.013135671615600586
60,40,Random Forest,0.9972215974491618,0.989938280180198,0.9972979122816997,0.9910962715637173,0.9967309113650578,0.9872505543237251,0.9970143312101911,0.9891696750902527,11.954433917999268,2.0868306159973145
60,40,Extra Trees,0.9972215974491618,0.9901565817936454,0.9967609955676782,0.9905547482690829,0.9972710216612656,0.9882739212007504,0.9970159433881831,0.9894130202774813,10.649420976638794,2.588010549545288
60,40,KNN,0.9859492213857614,0.9843021294330112,0.9866484080794249,0.9849347314359084,0.9831144465290806,0.9812809142077434,0.9848782571550619,0.983104427878762,0.004724264144897461,57.525033473968506
60,40,CatBoost,0.99302753264623,0.9899184345789755,0.9930561484390563,0.9905079527963058,0.9919551992722725,0.9878048780487805,0.992505368545302,0.9891545687446627,8.080718040466309,0.7786049842834473
60,40,Deep Neural Net,0.9797838138205681,0.9797773323542837,0.984005523272539,0.9841167076697311,0.9723690943203138,0.9722411734606856,0.978152702316271,0.9781428969777568,179.87961626052856,8.804299354553223
70,30,Decision Tree,0.9930823315944659,0.9878281117696867,0.9923045077076688,0.9864811133200795,0.9928364318608222,0.9873784751833532,0.9925703985189516,0.986929590271069,0.2148597240447998,0.013441324234008789
70,30,Random Forest,0.9970968473576775,0.9897861981371718,0.9972931450727924,0.9901418884266909,0.9964669476864599,0.9878901586218659,0.9968798751950078,0.9890147418748932,14.183244466781616,2.151358127593994
70,30,Extra Trees,0.9970968473576775,0.9901301862828111,0.996542404246512,0.9896473265073947,0.9972222899052168,0.9891409403604525,0.9968822311533309,0.9893940686399955,12.97341275215149,2.7108261585235596
70,30,KNN,0.9867883873894308,0.9849968247248095,0.987577032182334,0.9853444343065694,0.9839916181379597,0.9823753482290067,0.985781065016538,0.9838576512455516,0.005070924758911133,64.83218121528625
70,30,CatBoost,0.9929122249943297,0.989997883149873,0.9931185944363103,0.9900347360628666,0.9916425038376258,0.988458695775769,0.99238000024384,0.9892460881934566,6.729472637176514,0.8054594993591309
70,30,Deep Neural Net,0.9782830573826264,0.9778789161727349,0.9842566463686321,0.9844427736972992,0.9688360420067738,0.9677639433736994,0.9764854676506343,0.9760321100917431,252.30477213859558,7.620924711227417
80,20,Decision Tree,0.9929249729601001,0.9890454455249057,0.9928511982245364,0.9883978843200819,0.9919409858434248,0.9880607197680369,0.9923958833253346,0.9882292732855681,0.27323079109191895,0.013216733932495117
80,20,Random Forest,0.996824672296258,0.9901964675530859,0.9967794224288701,0.990765284309534,0.9963968957871396,0.9881460003411223,0.9965881224011088,0.9894539088851885,17.031570196151733,3.6178646087646484
80,20,Extra Trees,0.996824672296258,0.9897995634054376,0.9961867836905117,0.9895006402048656,0.9969938597987379,0.9885724032065496,0.9965901583445219,0.9890363039119492,15.633615016937256,2.7106728553771973
80,20,KNN,0.9872887662859581,0.985393927366541,0.9877065828576316,0.9857998289136014,0.9849479788504178,0.9827733242367389,0.9863253520074298,0.9842842500854116,0.005559206008911133,73.94649243354797
80,20,CatBoost,0.9927562836758387,0.9903949196269101,0.9927854855923159,0.9907692307692307,0.9916425038376258,0.9885724032065496,0.9922136655502699,0.9896695978826945,9.668065547943115,0.817457914352417
80,20,Deep Neural Net,0.9780902388441807,0.9772177019249851,0.9917051705170518,0.9924924924924925,0.9609628176701347,0.9582977997612144,0.9760919938497521,0.9750954529677195,218.1716775894165,7.413908004760742
